Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
337000,1.4818776,-9.969585,999.0,-99.97997951507568,-99.97997951507568,1.0
338000,1.4698238,-9.969337,None,None,None,1.0
339000,1.4798521,-9.968359,None,None,None,1.0
340000,1.4874444,-9.968769,None,None,None,1.0
341000,1.4418762,-9.972918,999.0,-99.9099793434143,-99.9099793434143,1.0
342000,1.4438784,-9.9747,999.0,-99.97497951984406,-99.97497951984406,1.0
343000,1.4428757,-9.974851,None,None,None,1.0
344000,1.4816175,-9.977638,999.0,-99.94664613405864,-99.94664613405864,1.0
345000,1.4512919,-9.977606,999.0,-99.93997955322266,-99.93997955322266,1.0
346000,1.5106852,-9.9710245,999.0,-99.97997951507568,-99.97997951507568,1.0
347000,1.4644642,-9.971512,None,None,None,1.0
348000,1.4975212,-9.971961,None,None,None,1.0
349000,1.5159984,-9.97295,None,None,None,1.0
350000,1.4676096,-9.974899,999.0,-99.9099793434143,-99.9099793434143,1.0
351000,1.4349006,-9.976702,999.0,-99.97497951984406,-99.97497951984406,1.0
352000,1.4673427,-9.98171,None,None,None,1.0
353000,1.4692544,-9.977344,999.0,-99.94664613405864,-99.94664613405864,1.0
354000,1.4492702,-9.977988,999.0,-99.93997955322266,-99.93997955322266,1.0
355000,1.4412367,-9.9819145,999.0,-99.97997951507568,-99.97997951507568,1.0
356000,1.4335501,-9.984686,None,None,None,1.0
357000,1.4523429,-9.985614,None,None,None,1.0
358000,1.4968349,-9.982887,None,None,None,1.0
359000,1.4904718,-9.985371,999.0,-99.9099793434143,-99.9099793434143,1.0
360000,1.5063797,-9.992601,999.0,-99.97497951984406,-99.97497951984406,1.0
361000,1.5062472,-9.995078,None,None,None,1.0
362000,1.5151554,-9.990881,999.0,-99.94664613405864,-99.94664613405864,1.0
363000,1.5335131,-9.984762,999.0,-99.93997955322266,-99.93997955322266,1.0
364000,1.5082998,-9.985955,999.0,-99.97997951507568,-99.97997951507568,1.0
365000,1.5768139,-9.989828,None,None,None,1.0
366000,1.5905962,-9.98684,None,None,None,1.0
367000,1.5545171,-9.992308,None,None,None,1.0
368000,1.5818883,-9.995264,999.0,-99.9099793434143,-99.9099793434143,1.0
369000,1.5426723,-9.989679,999.0,-99.97497951984406,-99.97497951984406,1.0
370000,1.5075049,-9.994751,None,None,None,1.0
371000,1.5767679,-9.999752,999.0,-99.94664613405864,-99.94664613405864,1.0
372000,1.5687793,-9.997444,999.0,-99.93997955322266,-99.93997955322266,1.0
373000,1.546771,-9.997757,999.0,-99.97997951507568,-99.97997951507568,1.0
374000,1.5229441,-9.995519,None,None,None,1.0
375000,1.4805975,-9.990077,None,None,None,1.0
376000,1.4813834,-9.986036,None,None,None,1.0
377000,1.4655937,-9.995412,999.0,-100.90997982025146,-100.90997982025146,1.0
378000,1.4496545,-9.990904,999.0,-99.97497951984406,-99.97497951984406,1.0
379000,1.4476969,-9.987976,None,None,None,1.0
380000,1.5030295,-9.983958,999.0,-99.94664613405864,-99.94664613405864,1.0
381000,1.4597551,-9.982318,999.0,-99.93997955322266,-99.93997955322266,1.0
382000,1.4203777,-9.981167,999.0,-99.97997951507568,-99.97997951507568,1.0
383000,1.4484727,-9.980125,None,None,None,1.0
384000,1.4198916,-9.977566,None,None,None,1.0
385000,1.3934493,-9.980345,None,None,None,1.0
386000,1.4113293,-9.976467,999.0,-99.9099793434143,-99.9099793434143,1.0
387000,1.3784305,-9.9777355,999.0,-99.97497951984406,-99.97497951984406,1.0
388000,1.3998177,-9.968878,None,None,None,1.0
389000,1.3851053,-9.966938,999.0,-99.94664613405864,-99.94664613405864,1.0
390000,1.3531693,-9.965609,999.0,-99.93997955322266,-99.93997955322266,1.0
391000,1.3376828,-9.966404,999.0,-99.97997951507568,-99.97997951507568,1.0
392000,1.4117244,-9.967959,None,None,None,1.0
393000,1.3842455,-9.973891,None,None,None,1.0
394000,1.394523,-9.974465,None,None,None,1.0
395000,1.4073068,-9.97223,999.0,-99.9099793434143,-99.9099793434143,1.0
