Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
261000,0.9297605,-2.3691664,-33.44861030578613,-33.44861030578613,999.0,1.0
262000,1.7360106,9.454889,-148.66431188583374,-148.66431188583374,999.0,1.0
263000,0.9749526,-4.813086,-238.80290603637695,-238.80290603637695,999.0,1.0
264000,1.3010287,-5.048972,-210.99439001083374,-210.99439001083374,999.0,1.0
265000,1.781782,1.4925793,538.8343435525894,538.8343435525894,530.5,1.0
266000,0.9278858,0.5142974,1132.3688118457794,1132.3688118457794,393.0,1.0
267000,0.95170563,-3.7486463,-91.35882997512817,-91.35882997512817,999.0,1.0
268000,1.6703268,7.8198957,-161.9919400215149,-161.9919400215149,999.0,1.0
269000,1.9045486,14.095409,-77.31671714782715,-77.31671714782715,999.0,1.0
270000,1.3254654,0.72810453,488.3116492033005,488.3116492033005,516.0,1.0
271000,1.3673693,-2.9373343,-30.037911415100098,-30.037911415100098,999.0,1.0
272000,1.6543798,-0.60253245,-44.08150386810303,-44.08150386810303,999.0,1.0
273000,1.8186901,1.5520831,-156.53393125534058,-156.53393125534058,999.0,1.0
274000,1.7883763,13.811304,488.2173715829849,488.2173715829849,534.0,1.0
275000,1.1842334,2.081481,-170.75825762748718,-170.75825762748718,999.0,1.0
276000,1.0820593,-1.33485,464.1004297733307,464.1004297733307,633.0,1.0
277000,1.1396616,-0.96235156,-82.53890132904053,-82.53890132904053,999.0,1.0
278000,1.808656,10.945036,451.825941324234,451.825941324234,636.0,1.0
279000,0.9770741,-5.225218,-233.2496190071106,-233.2496190071106,999.0,1.0
280000,0.77562326,2.0455747,1070.2491493225098,1070.2491493225098,99.0,1.0
281000,0.8730175,-9.204278,-161.12620449066162,-161.12620449066162,999.0,1.0
282000,0.8369128,-5.227712,580.7056821584702,580.7056821584702,519.5,1.0
283000,1.8097304,-1.7514942,-129.99781489372253,-129.99781489372253,999.0,1.0
284000,1.1668942,-0.7101712,-211.78023171424866,-211.78023171424866,999.0,1.0
285000,0.54496074,6.939683,506.39322781562805,506.39322781562805,503.5,1.0
286000,0.3817099,14.131821,-27.430253982543945,-27.430253982543945,999.0,1.0
287000,0.35094872,12.935153,-110.81419944763184,-110.81419944763184,999.0,1.0
288000,1.6931487,4.91294,-120.73902368545532,-120.73902368545532,999.0,1.0
289000,1.0714024,0.73818064,675.305033047994,675.305033047994,358.3333333333333,1.0
290000,1.4719615,7.2026443,798.6602641940117,798.6602641940117,342.25,1.0
291000,1.8114622,0.098147094,-163.87131786346436,-163.87131786346436,999.0,1.0
292000,1.8785181,12.147604,-63.928616762161255,-63.928616762161255,999.0,1.0
293000,1.7726661,24.066618,1034.8824105262756,1034.8824105262756,378.0,1.0
294000,1.8500682,16.311798,620.584415435791,620.584415435791,474.3333333333333,1.0
295000,1.7381651,1.9336089,-147.4827115535736,-147.4827115535736,999.0,1.0
296000,0.7658177,-9.419515,1088.8803811073303,1088.8803811073303,643.5,1.0
297000,0.51081777,-3.4179354,-83.91498398780823,-83.91498398780823,999.0,1.0
298000,1.1198701,-0.4252365,-208.88209915161133,-208.88209915161133,999.0,1.0
299000,1.5499526,-1.0189058,-77.5609393119812,-77.5609393119812,999.0,1.0
300000,0.18646938,61.048504,-0.5324134826660156,-0.5324134826660156,999.0,1.0
301000,1.7624537,30.897663,583.179496049881,583.179496049881,69.0,1.0
302000,0.52071387,14.272923,464.5694468021393,464.5694468021393,504.0,1.0
303000,0.24188459,24.91128,432.34407019615173,432.34407019615173,517.0,1.0
304000,1.6819382,14.771805,479.5592311620712,479.5592311620712,519.0,1.0
305000,0.85362536,8.325437,466.5443365573883,466.5443365573883,567.0,1.0
306000,1.475566,3.983619,-46.70129442214966,-46.70129442214966,999.0,1.0
307000,1.9655846,15.81353,-143.58688163757324,-143.58688163757324,999.0,1.0
308000,1.9332232,14.692924,488.14649760723114,488.14649760723114,521.5,1.0
309000,1.7839516,14.530426,724.1248220602671,724.1248220602671,435.0,1.0
310000,1.6411524,7.3934584,0.09097528457641602,0.09097528457641602,999.0,1.0
311000,0.8573607,5.9502134,553.3639026880264,553.3639026880264,524.5,1.0
312000,0.7528019,13.339221,480.49771904945374,480.49771904945374,517.0,1.0
313000,1.6880776,-0.6585789,26.079763412475586,26.079763412475586,999.0,1.0
314000,1.4660518,3.1035163,454.8160922527313,454.8160922527313,504.0,1.0
315000,0.6632859,15.513482,624.3303224245707,624.3303224245707,341.3333333333333,1.0
316000,1.398707,1.5170422,674.1950533390045,674.1950533390045,358.3333333333333,1.0
317000,1.7486457,-0.45765084,-51.940184116363525,-51.940184116363525,999.0,1.0
318000,1.6382165,1.5999792,-136.34805607795715,-136.34805607795715,999.0,1.0
319000,0.6236266,-5.1040335,-219.67459630966187,-219.67459630966187,999.0,1.0
320000,0.5007982,7.153989,512.551025390625,512.551025390625,521.5,1.0
321000,1.822539,0.39705303,-37.425060749053955,-37.425060749053955,999.0,1.0
322000,0.52770185,-14.212101,51.98638963699341,51.98638963699341,999.0,1.0
323000,0.43303254,22.325113,-137.6722650527954,-137.6722650527954,999.0,1.0
324000,1.8624213,12.6098995,1080.5441131591797,1080.5441131591797,172.0,1.0
325000,1.7926801,29.579624,-42.45855951309204,-42.45855951309204,999.0,1.0
326000,1.8298321,12.120428,502.9234833717346,502.9234833717346,510.0,1.0
327000,0.72275823,-9.726203,-162.98908734321594,-162.98908734321594,999.0,1.0
328000,1.7819072,13.337522,648.5949374834696,648.5949374834696,355.0,1.0
329000,0.7616011,7.336389,469.1459400653839,469.1459400653839,508.5,1.0
330000,0.48605046,-1.7316625,430.1098664999008,430.1098664999008,532.5,1.0
331000,1.6370312,3.65366,472.25247287750244,472.25247287750244,507.0,1.0
332000,0.92125773,-0.29791558,532.2612018585205,532.2612018585205,532.5,1.0
333000,1.4382576,9.560479,421.6654134988785,421.6654134988785,616.0,1.0
334000,1.2462324,15.706726,492.96587240695953,492.96587240695953,505.0,1.0
335000,0.4013857,-0.51118326,457.3946588039398,457.3946588039398,505.0,1.0
336000,0.4202315,-4.7726507,454.03802931308746,454.03802931308746,509.5,1.0
337000,0.4439656,-11.330879,6.684991121292114,6.684991121292114,999.0,1.0
